[2013-12-08 00:49:10,334]runtime:INFO: Running iteration 1 ...
[2013-12-08 00:49:10,361]runtime:INFO: Creating instances of Acceptor..
[2013-12-08 00:49:10,503]runtime:INFO: 20 instances of Acceptor created.
[2013-12-08 00:49:10,517]runtime:INFO: Creating instances of Replica..
[2013-12-08 00:49:10,611]runtime:INFO: 10 instances of Replica created.
[2013-12-08 00:49:10,623]runtime:INFO: Creating instances of Leader..
[2013-12-08 00:49:10,653]runtime:INFO: 5 instances of Leader created.
[2013-12-08 00:49:10,676]runtime:INFO: Creating instances of Client..
[2013-12-08 00:49:10,712]runtime:INFO: 5 instances of Client created.
[2013-12-08 00:49:10,731]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,735]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,752]runtime:INFO: Starting procs...
[2013-12-08 00:49:13,235]Client(('Latitude', 29417)):INFO: Received result 0:9 time taken: 2.415037
[2013-12-08 00:49:13,236]Client(('Latitude', 19526)):INFO: Received result 0:18 time taken: 2.334985
[2013-12-08 00:49:13,248]Client(('Latitude', 38473)):INFO: Received result 0:27 time taken: 2.328499
[2013-12-08 00:49:13,285]Client(('Latitude', 26810)):INFO: Received result 0:36 time taken: 2.364665
[2013-12-08 00:49:13,293]Client(('Latitude', 21586)):INFO: Received result 0:45 time taken: 2.325806
[2013-12-08 00:49:14,648]Client(('Latitude', 19526)):INFO: Received result 1:54 time taken: 1.384935
[2013-12-08 00:49:15,415]Client(('Latitude', 38473)):INFO: Received result 1:72 time taken: 2.159206
[2013-12-08 00:49:15,416]Client(('Latitude', 29417)):INFO: Received result 1:63 time taken: 2.143833
[2013-12-08 00:49:15,421]Client(('Latitude', 26810)):INFO: Received result 1:81 time taken: 2.117910
[2013-12-08 00:49:15,429]Client(('Latitude', 21586)):INFO: Received result 1:90 time taken: 2.127288
[2013-12-08 00:49:17,553]Client(('Latitude', 26810)):INFO: Received result 2:117 time taken: 2.092514
[2013-12-08 00:49:17,550]Client(('Latitude', 29417)):INFO: Received result 2:108 time taken: 2.103763
[2013-12-08 00:49:17,623]Client(('Latitude', 38473)):INFO: Received result 2:126 time taken: 2.152180
[2013-12-08 00:49:18,037]Client(('Latitude', 21586)):INFO: Received result 2:135 time taken: 2.560127
[2013-12-08 00:49:19,835]Client(('Latitude', 19526)):INFO: Received result 3:144 time taken: 2.229089
[2013-12-08 00:49:20,223]Client(('Latitude', 29417)):INFO: Received result 3:153 time taken: 2.627565
[2013-12-08 00:49:20,342]Client(('Latitude', 38473)):INFO: Received result 3:162 time taken: 2.710105
[2013-12-08 00:49:26,455]Client(('Latitude', 21586)):INFO: Received result 3:171 time taken: 8.365657
[2013-12-08 00:49:26,473]Client(('Latitude', 19526)):INFO: Received result 4:180 time taken: 6.586763
[2013-12-08 00:49:26,548]Client(('Latitude', 29417)):INFO: Received result 4:189 time taken: 6.262365
[2013-12-08 00:49:26,633]Client(('Latitude', 38473)):INFO: Received result 4:198 time taken: 6.260675
[2013-12-08 00:49:27,622]Client(('Latitude', 26810)):INFO: Received result 3:207 time taken: 10.023668
[2013-12-08 00:49:27,888]Client(('Latitude', 21586)):INFO: Received result 4:216 time taken: 1.419401
[2013-12-08 00:49:28,147]Client(('Latitude', 19526)):INFO: Received result 5:225 time taken: 1.663970
[2013-12-08 00:49:29,648]Client(('Latitude', 29417)):INFO: Received result 5:234 time taken: 3.089741
[2013-12-08 00:49:30,825]Client(('Latitude', 38473)):INFO: Received result 5:243 time taken: 4.184572
[2013-12-08 00:49:30,878]Client(('Latitude', 26810)):INFO: Received result 4:252 time taken: 3.166104
[2013-12-08 00:49:31,164]Client(('Latitude', 21586)):INFO: Received result 5:261 time taken: 3.196798
[2013-12-08 00:49:31,232]Client(('Latitude', 19526)):INFO: Received result 6:270 time taken: 3.000971
[2013-12-08 00:49:33,503]Client(('Latitude', 38473)):INFO: Received result 6:288 time taken: 2.602863
[2013-12-08 00:49:33,504]Client(('Latitude', 29417)):INFO: Received result 6:279 time taken: 3.793872
[2013-12-08 00:49:33,568]Client(('Latitude', 26810)):INFO: Received result 5:297 time taken: 2.634253
[2013-12-08 00:49:34,068]Client(('Latitude', 21586)):INFO: Received result 6:306 time taken: 2.893860
[2013-12-08 00:49:34,280]Client(('Latitude', 19526)):INFO: Received result 7:315 time taken: 3.040108
[2013-12-08 00:49:34,709]Client(('Latitude', 38473)):INFO: Received result 7:324 time taken: 1.109699
[2013-12-08 00:49:38,290]Client(('Latitude', 21586)):INFO: Received result 7:342 time taken: 4.191692
[2013-12-08 00:49:38,291]Client(('Latitude', 26810)):INFO: Received result 6:333 time taken: 4.700720
[2013-12-08 00:49:38,316]Client(('Latitude', 19526)):INFO: Received result 8:351 time taken: 3.958837
[2013-12-08 00:49:38,335]Client(('Latitude', 29417)):INFO: Received result 7:360 time taken: 4.750976
[2013-12-08 00:49:38,369]Client(('Latitude', 38473)):INFO: Received result 8:369 time taken: 3.516400
[2013-12-08 00:49:40,116]Client(('Latitude', 21586)):INFO: Received result 8:378 time taken: 1.764488
[2013-12-08 00:49:40,598]Client(('Latitude', 26810)):INFO: Received result 7:387 time taken: 2.278572
[2013-12-08 00:49:40,945]Client(('Latitude', 19526)):INFO: Received result 9:396 time taken: 2.612337
[2013-12-08 00:49:41,045]Client(('Latitude', 29417)):INFO: Received result 8:405 time taken: 2.699877
[2013-12-08 00:49:41,512]Client(('Latitude', 38473)):INFO: Received result 9:414 time taken: 3.122208
